CustomerKey,FirstName,MiddleName,LastName,NameStyle,BirthDate,MaritalStatus,Suffix,Gender,EmailAddress,YearlyIncome,TotalChildren,AddressLine1,AddressLine2,Phone
11012,Lauren,M,Walker,False,1979-01-14,M,,F,lauren41@adventure-works.com,100000.0,2,4785 Scott Street,,717-555-0164
11013,Ian,M,Jenkins,False,1979-08-03,M,,M,ian47@adventure-works.com,100000.0,2,7902 Hudson Ave.,,817-555-0185
11014,Sydney,,Bennett,False,1973-11-06,S,,F,sydney23@adventure-works.com,100000.0,3,9011 Tank Drive,,431-555-0156
11015,Chloe,,Young,False,1984-08-26,S,,F,chloe23@adventure-works.com,30000.0,0,244 Willow Pass Road,,208-555-0142
11016,Wyatt,L,Hill,False,1984-10-25,M,,M,wyatt32@adventure-works.com,30000.0,0,9666 Northridge Ct.,,135-555-0171
11017,Shannon,,Wang,False,1949-12-24,S,,F,shannon1@adventure-works.com,20000.0,4,7330 Saddlehill Lane,,1 (11) 500 555-0195
11018,Clarence,D,Rai,False,1955-10-06,S,,M,clarence32@adventure-works.com,30000.0,2,244 Rivewview,,1 (11) 500 555-0137
11019,Luke,L,Lal,False,1983-09-04,S,,M,luke18@adventure-works.com,40000.0,0,7832 Landing Dr,,262-555-0112
11020,Jordan,C,King,False,1984-03-19,S,,M,jordan73@adventure-works.com,40000.0,0,7156 Rose Dr.,,550-555-0163
11021,Destiny,,Wilson,False,1984-03-02,S,,F,destiny7@adventure-works.com,40000.0,0,8148 W. Lake Dr.,,622-555-0158
11022,Ethan,G,Zhang,False,1984-04-10,M,,M,ethan20@adventure-works.com,40000.0,0,1769 Nicholas Drive,,589-555-0185
11023,Seth,M,Edwards,False,1984-04-09,M,,M,seth46@adventure-works.com,40000.0,0,4499 Valley Crest,,452-555-0188
11024,Russell,,Xie,False,1984-03-16,M,,M,russell7@adventure-works.com,60000.0,0,8734 Oxford Place,,746-555-0186
11025,Alejandro,,Beck,False,1951-06-22,M,,M,alejandro45@adventure-works.com,10000.0,2,2596 Franklin Canyon Road,,1 (11) 500 555-0178
11026,Harold,,Sai,False,1951-10-01,S,,M,harold3@adventure-works.com,30000.0,2,8211 Leeds Ct.,,1 (11) 500 555-0131
11027,Jessie,R,Zhao,False,1952-06-05,M,,M,jessie16@adventure-works.com,30000.0,2,213 Valencia Place,,1 (11) 500 555-0184
11028,Jill,,Jimenez,False,1951-10-09,M,,F,jill13@adventure-works.com,30000.0,2,9111 Rose Ann Ave,,1 (11) 500 555-0116
11029,Jimmy,L,Moreno,False,1952-06-19,M,,M,jimmy9@adventure-works.com,30000.0,2,6385 Mark Twain,,1 (11) 500 555-0146
11030,Bethany,G,Yuan,False,1958-02-18,M,,F,bethany10@adventure-works.com,10000.0,2,636 Vine Hill Way,,1 (11) 500 555-0182
11031,Theresa,G,Ramos,False,1953-02-18,M,,F,theresa13@adventure-works.com,20000.0,4,6465 Detroit Ave.,,1 (11) 500 555-0195
11032,Denise,,Stone,False,1952-12-08,M,,F,denise10@adventure-works.com,20000.0,4,626 Bentley Street,,1 (11) 500 555-0169
11033,Jaime,,Nath,False,1958-09-19,M,,M,jaime41@adventure-works.com,20000.0,4,5927 Rainbow Dr,,1 (11) 500 555-0137
11034,Ebony,,Gonzalez,False,1952-12-16,M,,F,ebony19@adventure-works.com,20000.0,4,5167 Condor Place,,1 (11) 500 555-0136
11035,Wendy,,Dominguez,False,1953-08-23,M,,F,wendy12@adventure-works.com,10000.0,2,1873 Mt. Whitney Dr,,1 (11) 500 555-0177
11036,Jennifer,C,Russell,False,1984-06-16,M,,F,jennifer93@adventure-works.com,60000.0,0,3981 Augustine Drive,,115-555-0183
11037,Chloe,M,Garcia,False,1983-05-27,S,,F,chloe27@adventure-works.com,40000.0,0,8915 Woodside Way,,229-555-0112
11038,Diana,F,Hernandez,False,1953-09-20,M,,F,diana2@adventure-works.com,10000.0,2,8357 Sandy Cove Lane,,1 (11) 500 555-0114
11039,Marc,J,Martin,False,1954-06-16,M,,M,marc3@adventure-works.com,30000.0,3,9353 Creekside Dr.,,1 (11) 500 555-0183
11040,Jesse,,Murphy,False,1983-01-29,M,,M,jesse15@adventure-works.com,30000.0,0,3350 Kingswood Circle,,961-555-0176
11041,Amanda,M,Carter,False,1983-04-15,M,,F,amanda53@adventure-works.com,60000.0,0,5826 Escobar,,295-555-0145
11042,Megan,J,Sanchez,False,1982-12-11,M,,F,megan28@adventure-works.com,70000.0,0,1397 Paraiso Ct.,,404-555-0199
11043,Nathan,M,Simmons,False,1981-08-23,M,,M,nathan11@adventure-works.com,60000.0,0,1170 Shaw Rd,,296-555-0181
11044,Adam,L,Flores,False,1954-11-21,M,,M,adam10@adventure-works.com,20000.0,2,6935 Candle Dr,,1 (11) 500 555-0163
11045,Leonard,G,Nara,False,1955-11-16,S,,M,leonard18@adventure-works.com,30000.0,3,7466 La Vista Ave.,,1 (11) 500 555-0151
11046,Christine,,Yuan,False,1955-09-19,M,,F,christine4@adventure-works.com,30000.0,3,2356 Orange St,,1 (11) 500 555-0113
11047,Jaclyn,D,Lu,False,1955-08-27,M,,F,jaclyn12@adventure-works.com,30000.0,3,2812 Mazatlan,,1 (11) 500 555-0137
11048,Jeremy,,Powell,False,1956-05-21,M,,M,jeremy26@adventure-works.com,30000.0,3,1803 Potomac Dr.,,1 (11) 500 555-0183
11049,Carol,C,Rai,False,1986-01-15,S,,F,carol8@adventure-works.com,40000.0,0,6064 Madrid,,654-555-0180
11050,Alan,,Zheng,False,1957-03-06,M,,M,alan23@adventure-works.com,30000.0,3,2741 Gainborough Dr.,,1 (11) 500 555-0135
11051,Daniel,,Johnson,False,1957-01-31,S,,M,daniel18@adventure-works.com,30000.0,3,8085 Sunnyvale Avenue,,1 (11) 500 555-0155
11052,Heidi,,Lopez,False,1957-02-03,S,,F,heidi19@adventure-works.com,40000.0,2,2514 Via Cordona,,1 (11) 500 555-0168
11053,Ana,E,Price,False,1986-02-17,M,,F,ana0@adventure-works.com,60000.0,0,1660 Stonyhill Circle,,859-555-0113
11054,Deanna,,Munoz,False,1957-09-07,M,,F,deanna33@adventure-works.com,40000.0,2,5825 B Way,,1 (11) 500 555-0192
11055,Gilbert,,Raje,False,1957-09-02,M,,M,gilbert35@adventure-works.com,40000.0,2,8811 The Trees Dr.,,1 (11) 500 555-0129
11056,Michele,L,Nath,False,1958-10-01,M,,F,michele19@adventure-works.com,40000.0,3,5464 Janin Pl.,,1 (11) 500 555-0178
11057,Carl,J,Andersen,False,1970-04-07,M,,M,carl12@adventure-works.com,70000.0,2,6930 Lake Nadine Place,,1 (11) 500 555-0181
11058,Marc,,Diaz,False,1965-04-23,M,,M,marc6@adventure-works.com,80000.0,2,6645 Sinaloa,,1 (11) 500 555-0149
11059,Ashlee,J,Andersen,False,1959-09-29,S,,F,ashlee19@adventure-works.com,80000.0,2,8255 Highland Road,,1 (11) 500 555-0112
11060,Jon,L,Zhou,False,1959-09-14,M,,M,jon28@adventure-works.com,80000.0,2,6574 Hemlock Ave.,,1 (11) 500 555-0174
11061,Todd,M,Gao,False,1976-02-20,M,,M,todd14@adventure-works.com,80000.0,2,8808 Geneva Ave,,1 (11) 500 555-0191
11062,Noah,D,Powell,False,1981-03-01,M,,M,noah5@adventure-works.com,40000.0,0,9794 Marion Ct,,767-555-0113
11063,Angela,,Murphy,False,1980-10-04,S,,F,angela41@adventure-works.com,40000.0,0,4927 Virgil Street,# 21,451-555-0162
11064,Chase,,Reed,False,1981-06-05,M,,M,chase21@adventure-works.com,40000.0,0,2721 Alexander Pl.,,892-555-0184
11065,Jessica,,Henderson,False,1979-04-08,M,,F,jessica29@adventure-works.com,60000.0,0,9343 Ironwood Way,,278-555-0186
11066,Grace,T,Butler,False,1979-05-27,M,,F,grace62@adventure-works.com,70000.0,0,4739 Garden Ave.,,712-555-0141
11067,Caleb,F,Carter,False,1982-03-25,S,,M,caleb40@adventure-works.com,60000.0,0,9563 Pennsylvania Blvd.,,944-555-0167
11068,Tiffany,,Liang,False,1966-09-19,S,,F,tiffany17@adventure-works.com,80000.0,2,3608 Sinclair Avenue,# 701,1 (11) 500 555-0177
11069,Carolyn,,Navarro,False,1966-09-17,S,,F,carolyn30@adventure-works.com,80000.0,2,4606 Springwood Court,,1 (11) 500 555-0145
11070,Willie,T,Raji,False,1960-10-02,M,,M,willie40@adventure-works.com,80000.0,2,6260 Vernal Drive,,1 (11) 500 555-0151
11071,Linda,,Serrano,False,1960-12-23,S,,F,linda31@adventure-works.com,80000.0,2,9808 Shaw Rd.,,1 (11) 500 555-0130
11072,Casey,,Luo,False,1960-08-05,S,,F,casey6@adventure-works.com,80000.0,2,9513 Roslyn Drive,,1 (11) 500 555-0125
11073,Amy,,Ye,False,1962-02-11,S,,F,amy16@adventure-works.com,70000.0,2,2262 Kirkwood Ct.,,1 (11) 500 555-0185
11074,Levi,A,Arun,False,1962-02-25,S,,M,levi6@adventure-works.com,70000.0,2,4661 Bluetail,,1 (11) 500 555-0127
11075,Felicia,L,Jimenez,False,1963-05-16,S,,F,felicia4@adventure-works.com,80000.0,2,786 Eastgate Ave,,1 (11) 500 555-0165
11076,Blake,,Anderson,False,1963-01-10,S,,M,blake9@adventure-works.com,80000.0,2,5436 Clear,# 101,1 (11) 500 555-0113
11077,Leah,,Ye,False,1963-03-19,S,,F,leah7@adventure-works.com,80000.0,2,1291 Arguello Blvd.,,1 (11) 500 555-0154
11078,Gina,E,Martin,False,1985-01-06,S,,F,gina1@adventure-works.com,40000.0,0,1349 Sol St.,,196-555-0114
11079,Donald,,Gonzalez,False,1970-03-07,S,,M,donald20@adventure-works.com,160000.0,0,4236 Malibu Place,,1 (11) 500 555-0137
11080,Damien,,Chander,False,1965-01-13,M,,M,damien32@adventure-works.com,170000.0,0,9941 Stonehedge Dr.,,1 (11) 500 555-0111
11081,Savannah,C,Baker,False,1972-01-21,M,,F,savannah39@adventure-works.com,120000.0,2,1210 Trafalgar Circle,,478-555-0117
11082,Angela,L,Butler,False,1972-02-01,S,,F,angela17@adventure-works.com,130000.0,0,6040 Listing Ct,,579-555-0195
11083,Alyssa,F,Cox,False,1977-03-11,M,,F,alyssa37@adventure-works.com,130000.0,0,867 La Orinda Place,,561-555-0140
11084,Lucas,,Phillips,False,1963-03-12,S,,M,lucas7@adventure-works.com,80000.0,2,8668 St. Celestine Court,,863-555-0172
11085,Emily,,Johnson,False,1963-01-16,S,,F,emily1@adventure-works.com,60000.0,2,7926 Stephanie Way,,850-555-0184
11086,Ryan,,Brown,False,1963-06-22,M,,M,ryan43@adventure-works.com,70000.0,2,2939 Wesley Ct.,,539-555-0198
11087,Tamara,L,Liang,False,1963-04-02,M,,F,tamara6@adventure-works.com,70000.0,3,3791 Rossmor Parkway,,178-555-0152
11088,Hunter,,Davis,False,1963-05-25,M,,M,hunter64@adventure-works.com,80000.0,2,4308 Sand Pointe Lane,,612-555-0141
11089,Abigail,M,Price,False,1962-08-05,S,,F,abigail25@adventure-works.com,80000.0,2,2685 Blackburn Ct,,532-555-0117
11090,Trevor,,Bryant,False,1968-12-13,S,,M,trevor18@adventure-works.com,90000.0,2,5781 Sharon Dr.,,853-555-0174
11091,Dalton,,Perez,False,1962-10-02,M,,M,dalton37@adventure-works.com,90000.0,2,6083 San Jose,,559-555-0115
11092,Cheryl,A,Diaz,False,1972-11-02,M,,F,cheryl4@adventure-works.com,90000.0,2,7297 Kaywood Drive,,1 (11) 500 555-0192
11093,Aimee,A,He,False,1978-09-06,M,,F,aimee13@adventure-works.com,100000.0,0,1833 Olympic Drive,,1 (11) 500 555-0161
11094,Cedric,W,Ma,False,1967-09-29,S,,M,cedric15@adventure-works.com,70000.0,1,3407 Oak Brook Place,,1 (11) 500 555-0115
11095,Chad,,Kumar,False,1968-02-29,S,,M,chad9@adventure-works.com,70000.0,1,1681 Lighthouse Way,,1 (11) 500 555-0151
11096,Andrés,,Anand,False,1968-02-07,M,,M,andrés18@adventure-works.com,60000.0,1,5423 Los Gatos Ct.,,1 (11) 500 555-0184
11097,Edwin,R,Nara,False,1972-10-23,M,,M,edwin39@adventure-works.com,60000.0,1,719 William Way,,1 (11) 500 555-0112
11098,Mallory,S,Rubio,False,1966-10-29,S,,F,mallory7@adventure-works.com,60000.0,1,6452 Harris Circle,,1 (11) 500 555-0157
11099,Adam,,Ross,False,1966-09-05,M,,M,adam2@adventure-works.com,60000.0,1,4378 Westminster Place,,1 (11) 500 555-0186
11100,Latasha,L,Navarro,False,1966-03-15,S,,F,latasha10@adventure-works.com,60000.0,1,6954 Ranch Road,,1 (11) 500 555-0123
11101,Abby,L,Sai,False,1970-11-05,S,,F,abby4@adventure-works.com,70000.0,0,7074 N. Spoonwood Court,,1 (11) 500 555-0174
11102,Julia,L,Nelson,False,1970-10-19,S,,F,julia7@adventure-works.com,80000.0,5,2196 Coat Ct.,,1 (11) 500 555-0124
11103,Cassie,,Chande,False,1981-04-12,S,,F,cassie13@adventure-works.com,70000.0,0,9448 San Marino Ct.,,1 (11) 500 555-0166
11104,Edgar,A,Sara,False,1975-03-08,M,,M,edgar11@adventure-works.com,70000.0,0,6127 Lilly Lane,,1 (11) 500 555-0125
11105,Candace,,Fernandez,False,1970-06-27,S,,F,candace15@adventure-works.com,70000.0,0,5029 Blue Ridge,,1 (11) 500 555-0162
11106,Jessie,,Liu,False,1970-03-11,S,,M,jessie9@adventure-works.com,70000.0,0,3063 Blue Jay Drive,,1 (11) 500 555-0163
11107,Bianca,,Lin,False,1976-03-04,M,,F,bianca7@adventure-works.com,90000.0,1,7530 Eola,,1 (11) 500 555-0121
11108,Kari,C,Alvarez,False,1969-01-10,S,,F,kari25@adventure-works.com,70000.0,0,9178 Thornhill Place,,1 (11) 500 555-0169
11109,Ruben,D,Kapoor,False,1980-04-30,S,,M,ruben1@adventure-works.com,70000.0,0,1984 Glendale Circle,,1 (11) 500 555-0132
11110,Curtis,,Yang,False,1967-12-04,M,,M,curtis5@adventure-works.com,60000.0,1,4052 Mt. Wilson Way,,1 (11) 500 555-0127
11111,Meredith,T,Gutierrez,False,1967-08-23,M,,F,meredith34@adventure-works.com,60000.0,1,7610 Northridge Ct.,,1 (11) 500 555-0179
11112,Crystal,C,Wang,False,1968-03-08,M,,F,crystal3@adventure-works.com,60000.0,1,2773 Kirkwood Dr,,1 (11) 500 555-0134
11113,Micheal,A,Blanco,False,1973-02-17,M,,M,micheal11@adventure-works.com,70000.0,5,596 Marfargoa Drive,,1 (11) 500 555-0131
11114,Leslie,C,Moreno,False,1967-11-25,S,,F,leslie7@adventure-works.com,70000.0,5,7941 Cristobal,,1 (11) 500 555-0115
11115,Alvin,D,Cai,False,1967-08-12,M,,M,alvin20@adventure-works.com,70000.0,5,7759 Azalea Avenue,,1 (11) 500 555-0191
11116,Clinton,E,Carlson,False,1979-04-02,M,,M,clinton14@adventure-works.com,70000.0,5,7943 Cunha Ct.,,1 (11) 500 555-0184
11117,April,,Deng,False,1966-08-21,M,,F,april1@adventure-works.com,70000.0,5,485 Ash Lane,,1 (11) 500 555-0182
11118,Alvin,M,Zeng,False,1962-12-31,S,,M,alvin21@adventure-works.com,80000.0,1,3853 Wildcat Circle,Unit 13c12,1 (11) 500 555-0174
11119,Evan,V,James,False,1940-10-07,S,,M,evan8@adventure-works.com,30000.0,2,4157 Sierra Ridge,,1 (11) 500 555-0187
11120,Beth,H,Jiménez,False,1942-02-06,S,,F,beth8@adventure-works.com,40000.0,2,7401 Las Palmas,,1 (11) 500 555-0164
11121,Orlando,,Suarez,False,1966-05-18,M,,M,orlando19@adventure-works.com,70000.0,5,7743 Hames Dr,,1 (11) 500 555-0198
11122,Byron,,Vazquez,False,1965-09-30,M,,M,byron9@adventure-works.com,70000.0,5,3187 Hackamore Lane,,1 (11) 500 555-0136
11123,Philip,A,Alvarez,False,1965-12-18,M,,M,philip4@adventure-works.com,70000.0,5,2775 Mt. Olivet Pl.,,1 (11) 500 555-0191
11124,Ross,F,Jordan,False,1968-07-23,S,,M,ross1@adventure-works.com,80000.0,1,6973 Dublin Court,,1 (11) 500 555-0126
11125,Dana,J,Navarro,False,1961-10-06,S,,F,dana2@adventure-works.com,70000.0,1,8481 Zartop Street,,1 (11) 500 555-0172
11126,Shaun,,Carson,False,1954-10-05,M,,M,shaun16@adventure-works.com,10000.0,2,57 Wolf Way,,1 (11) 500 555-0155
11127,Jan,,Edwards,False,1981-04-19,M,,F,jan11@adventure-works.com,40000.0,0,9409 The Alameda,,111-555-0118
11128,Samantha,,Long,False,1981-06-03,M,,F,samantha35@adventure-works.com,40000.0,0,1606 Alderwood Lane,,175-555-0139
11129,Julia,M,Wright,False,1981-02-01,S,,F,julia17@adventure-works.com,40000.0,0,7397 Central Blvd.,,456-555-0174
11130,Caroline,L,Russell,False,1985-07-05,M,,F,caroline21@adventure-works.com,30000.0,0,3884 Bates Court,,424-555-0137
11131,Amanda,,Rivera,False,1985-09-09,M,,F,amanda7@adventure-works.com,30000.0,0,9573 Royal Oak Rd.,,918-555-0126
11132,Melissa,E,Richardson,False,1986-04-25,S,,F,melissa31@adventure-works.com,30000.0,0,6832 Fruitwood Dr,,928-555-0118
11133,Angela,,Griffin,False,1986-03-08,S,,F,angela23@adventure-works.com,30000.0,0,3828 Baltic Sea Ct,,598-555-0174
11134,Larry,D,Townsend,False,1957-02-22,S,,M,larry14@adventure-works.com,10000.0,5,7034 Carson,,1 (11) 500 555-0130
11135,Marcus,L,Harris,False,1985-05-02,S,,M,marcus14@adventure-works.com,30000.0,0,9068 Quiet Place Drive,,442-555-0119
11136,Brianna,D,Morgan,False,1984-04-24,S,,F,brianna30@adventure-works.com,40000.0,0,9005 Eagle Ct.,,954-555-0117
11137,Jasmine,A,Taylor,False,1984-01-17,M,,F,jasmine7@adventure-works.com,40000.0,0,2457 Matterhorn Court,,557-555-0146
11138,Lauren,,Davis,False,1984-03-14,M,,F,lauren23@adventure-works.com,40000.0,0,8105 Pembrook Court,,832-555-0121
11139,Tanya,,Moreno,False,1949-11-05,S,,F,tanya2@adventure-works.com,30000.0,2,6155 Wilbur Drive,,1 (11) 500 555-0185
11140,Javier,L,Alvarez,False,1982-08-11,S,,M,javier1@adventure-works.com,30000.0,0,8935 Etcheverry Dr.,,763-555-0134
11141,Nicole,,Ramirez,False,1982-12-19,M,,F,nicole42@adventure-works.com,40000.0,0,1101 C Street,,152-555-0162
11142,Eduardo,,Patterson,False,1983-02-11,S,,M,eduardo55@adventure-works.com,40000.0,0,6255 Macalvey Dr.,,190-555-0184
11143,Jonathan,M,Henderson,False,1982-08-04,M,,M,jonathan4@adventure-works.com,40000.0,0,165 East Lane Road,,149-555-0113
11144,Edward,,Hernandez,False,1985-03-08,S,,M,edward48@adventure-works.com,40000.0,0,7607 Pine Hollow Road,,178-555-0196
11145,Jasmine,L,Coleman,False,1985-06-06,S,,F,jasmine46@adventure-works.com,40000.0,0,1961 Oak Grove Road,,857-555-0115
11146,Karla,L,Goel,False,1945-02-22,S,,F,karla20@adventure-works.com,40000.0,2,3272 Corrie Lane,,1 (11) 500 555-0137
11147,Ernest,L,Wu,False,1944-08-04,M,,M,ernest6@adventure-works.com,60000.0,2,1832 RiverRock Dr,,1 (11) 500 555-0139
11148,Ross,,Vazquez,False,1947-02-13,M,,M,ross32@adventure-works.com,40000.0,2,1201 Paso Del Rio Way,,1 (11) 500 555-0163
11149,Theodore,,Gill,False,1946-10-18,M,,M,theodore14@adventure-works.com,40000.0,2,9120 Pinewood Court,,1 (11) 500 555-0194
11150,Russell,M,Shen,False,1946-09-12,S,,M,russell6@adventure-works.com,40000.0,2,4755 Easley Drive,,1 (11) 500 555-0191
11151,Melinda,G,Gill,False,1947-08-25,S,,F,melinda9@adventure-works.com,60000.0,2,805 Rainier Dr.,,1 (11) 500 555-0117
11152,James,J,Williams,False,1981-07-09,S,,M,james77@adventure-works.com,40000.0,0,6827 Seagull Court,,355-555-0153
11153,Angela,R,James,False,1981-12-21,M,,F,angela34@adventure-works.com,40000.0,0,8877 Weatherly Drive,,847-555-0111
11154,Megan,G,Walker,False,1982-02-18,S,,F,megan25@adventure-works.com,40000.0,0,6898 Holiday Hills,,918-555-0186
11155,Hunter,J,Robinson,False,1981-07-25,S,,M,hunter50@adventure-works.com,40000.0,0,8356 Mori Court,,891-555-0125
11156,Maria,,Roberts,False,1981-08-06,S,,F,maria47@adventure-works.com,40000.0,0,9452 Mariposa Ct.,,158-555-0199
11157,Hannah,E,Long,False,1980-12-08,M,,F,hannah32@adventure-works.com,40000.0,0,1832 Preston Ct.,,974-555-0177
11158,Jason,K,Wright,False,1981-04-06,S,,M,jason46@adventure-works.com,40000.0,0,6771 Bundros Court,,694-555-0176
11159,Brianna,A,Hughes,False,1981-03-16,S,,F,brianna57@adventure-works.com,40000.0,0,6793 Bonifacio St.,,319-555-0183
11160,Maurice,M,Tang,False,1979-07-08,S,,M,maurice4@adventure-works.com,40000.0,0,2886 Chaparral Court,Space # 45,947-555-0172
11161,Emily,,Wood,False,1979-10-20,S,,F,emily27@adventure-works.com,40000.0,0,1562 Black Walnut,,184-555-0114
11162,Chase,,Cox,False,1979-09-02,S,,M,chase10@adventure-works.com,40000.0,0,P.O. Box 8070,,764-555-0116
11163,Gabriel,,Wang,False,1980-06-18,M,,M,gabriel21@adventure-works.com,40000.0,0,8002 Crane Court,,617-555-0150
11164,Devin,,Brooks,False,1979-11-02,S,,M,devin63@adventure-works.com,40000.0,0,4231 Highland Dr.,,502-555-0138
11165,Jocelyn,,Alexander,False,1979-01-15,M,,F,jocelyn18@adventure-works.com,60000.0,0,3376 Bank Way,,354-555-0134
11166,Ashley,,Martinez,False,1977-10-22,S,,F,ashley18@adventure-works.com,70000.0,0,6993 Whyte Park Ave.,,131-555-0194
11167,Jasmine,J,Barnes,False,1978-01-29,S,,F,jasmine43@adventure-works.com,80000.0,0,9183 Via Del Sol,,178-555-0156
11168,David,,Rodriguez,False,1973-11-12,S,,M,david83@adventure-works.com,80000.0,0,38 Shangri-la Rd.,,730-555-0128
11169,Bryce,,Richardson,False,1973-12-20,M,,M,bryce8@adventure-works.com,90000.0,4,1841 Blackwood Drive,,178-555-0176
11170,Carol,T,Howard,False,1973-08-04,M,,F,carol5@adventure-works.com,90000.0,4,6281 Edward Ave,,845-555-0127
11171,Jonathan,E,Hill,False,1978-10-05,S,,M,jonathan43@adventure-works.com,100000.0,1,3731 Chinquapin Ct,,134-555-0196
11172,Gabrielle,J,Adams,False,1973-05-20,M,,F,gabrielle58@adventure-works.com,100000.0,1,5621 Arcadia Pl.,,403-555-0152
11173,Sarah,F,Thomas,False,1973-02-28,S,,F,sarah13@adventure-works.com,110000.0,0,5636 Mt. Whitney Dr.,,868-555-0188
11174,Nicholas,,Robinson,False,1973-01-09,M,,M,nicholas19@adventure-works.com,110000.0,0,1318 Lasalle Street,,949-555-0138
11175,Luis,,Wang,False,1968-09-01,S,,M,luis24@adventure-works.com,70000.0,0,6943 Patterson Blvd.,,418-555-0127
11176,Mason,D,Roberts,False,1979-01-21,M,,M,mason25@adventure-works.com,90000.0,4,5753 Megan Dr.,,539-555-0162
11177,Jose,M,Flores,False,1948-01-01,M,,M,jose6@adventure-works.com,110000.0,2,3991 Rambling Rose Drive,,157-555-0182
11178,Nathan,J,Johnson,False,1954-08-20,M,,M,nathan55@adventure-works.com,100000.0,2,8927 Daylight Place,,117-555-0182
11179,Molly,E,Rodriguez,False,1959-12-08,M,,F,molly18@adventure-works.com,120000.0,2,5556 Riverland Dr.,,135-555-0185
11180,April,,Anand,False,1948-07-01,M,,F,april18@adventure-works.com,160000.0,1,3531 Brookview Drive,,702-555-0144
11181,Devin,P,Martin,False,1960-02-01,M,,M,devin13@adventure-works.com,170000.0,2,1085 Greenbelt Way,Unit B-105,735-555-0197
11182,Stephanie,,Torres,False,1950-02-22,S,,F,stephanie19@adventure-works.com,70000.0,4,6968 Mildred Ln.,,567-555-0176
11183,Jasmine,W,Lee,False,1950-01-12,S,,F,jasmine19@adventure-works.com,70000.0,4,7502 Contuti Avenue,,147-555-0199
11184,Meghan,,Hernandez,False,1955-11-13,S,,F,meghan3@adventure-works.com,70000.0,4,5872 L St.,,967-555-0188
11185,Ashley,,Henderson,False,1950-04-07,S,,F,ashley31@adventure-works.com,70000.0,4,8834 San Jose Ave.,,173-555-0121
11186,Sarah,C,Price,False,1949-11-18,S,,F,sarah25@adventure-works.com,70000.0,4,4815 Paraiso Ct.,,180-555-0133
11187,Jennifer,S,Cooper,False,1949-08-21,M,,F,jennifer63@adventure-works.com,60000.0,4,2429 Longview Road,,857-555-0111
11188,Catherine,,Morris,False,1950-03-06,M,,F,catherine16@adventure-works.com,60000.0,4,6542 Stonewood Drive,,795-555-0117
11189,Lawrence,W,Blanco,False,1950-01-12,S,,M,lawrence14@adventure-works.com,60000.0,4,7502 Contuti Avenue,,656-555-0171
11190,Carson,,Bryant,False,1949-12-20,M,,M,carson17@adventure-works.com,70000.0,5,2995 Youngsdale Dr.,,240-555-0142
11191,Kristi,E,Perez,False,1951-06-17,S,,F,kristi39@adventure-works.com,70000.0,5,1769 Lislin Ct,,123-555-0181
11192,James,C,Brown,False,1951-03-13,M,,M,james79@adventure-works.com,60000.0,4,673 Old Mountain View Dr.,,725-555-0117
11193,Ian,A,Gray,False,1950-08-13,M,,M,ian72@adventure-works.com,60000.0,4,5941 Gill Dr.,,596-555-0190
11194,Jacqueline,R,Price,False,1950-12-08,M,,F,jacqueline0@adventure-works.com,60000.0,4,872 Mark Twain Dr,,266-555-0112
11195,Megan,,Henderson,False,1951-08-10,M,,F,megan55@adventure-works.com,60000.0,5,8411 Mt. Olivet Place,,560-555-0150
11196,Alfredo,,Romero,False,1951-12-05,M,,M,alfredo10@adventure-works.com,60000.0,5,2499 Greendell Pl,,342-555-0110
